,Content,Labels
16,sure to be a huge hit this summer florals floated down the runway at ss24 shows with flower power and plush posies some of the most talked about pieces  a fling with femininity was the thingfrom ethereal sheaths to romantic ruffles and sweeping maxi dresses beautiful blooms were the centre of attention and we cant wait to crash this garden party with all its gloryafter all theres always room for an update on this dreamy favouritefloral dresses are a timeless staple that will never go out of style says esme stone head of brand at j d williams a floaty floral yet comfortable dress offers the perfect combination of style and femininityspring is all about pausing refreshing and enjoying special moments so whether youre looking for something for a summer wedding or simply to wear to the office floaty florals are a classicheres how to work this romantic lookone of the prettiest updates is a floral top from smock to cropped  the key is to make it playful with a plunge neckline or bared midriffespecially if youre unsure about headtotoe florals jo collins head of design for womenswear kidswear and nonclothing at fatface says to choose a neutral base such as jeans and add a cool cut floral toppair with ballet flats such as satin or crystalembellished ones for a casual feminine vibe theyre bang up to date  yes the ballet is backfatface frankie expressive floral topriver island pink floral halter neck topthe strappy floral slip signals summertime and this core essential knows exactly how to do casualwhether you wear yours with a white tshirt underneath or sweater over the top as we wait for the weather to warm up its a winner with trainers or metallic flatsas collins puts it floral dresses are super versatile and can be dressed up or down for a more casual look team your floaty florals with high tops and a denim jacket  or add your favourite lightweight jumper over the top to create the illusion of a skirt and knit combohitting another key trend for spring the maxi skirtj d williams printed tie waist apron dressriver island pink floral slip maxi dresscomfortable and classy the jumpsuit is another firm favourite this time round especially with iconic seventies fashion trends still headliningdressed up with heels or wedges long floaty wideleg trousers add length while its an ideal specialoccasion staple to accessorise with a floppy sun hat and clutchcited as a modern womans wardrobe staple without the faff of having to spend time styling separates this allinone does all the hard work for yougirl in mind tamara frilled jumpsuit nextted baker marleeh floral halterneck jumpsuit black j d williamsdainty with chiffon ruffles semisheer accents and delicate sprigs the floral sheath dress suggests a tea party with all the trimmingsbut this style doesnt have to be saved for best collins says to gently layer with a light cable knit or casual jacketthe perfect pairing for picnics summer drinks and everything in between devoted to style embrace the beauty of nature with this key trendwhistles shaded floral nellie dress bluemultil k bennett robyn neon garden print silkblend dress creamone to watch is the it dress going to steal the spotlight this summerthe floral and romantic trend is perfect for occasion season which were quickly gearing up for says rebecca rhoades founder of rebecca rhoadesits a look that can be modernised by combining bold prints with pretty soft fabrics and traditional florals  the trend creates a very feminine look when worn in flattering silhouettesrhoades suggests opting for block colour accessories when wearing prints but what i also love about prints is how unique they are to each person  they tell a storyso if you want to go for printonprint do it race days and summer weddings are also a time to get noticed so perhaps go for something you wouldnt normally just dont outdo the bridecopper  black peony painted leaves maxi dress fatfacerebecca rhoades sydney maxi dress retro zest,Lifestyle
17,emily ratajkowski has shared an instagram post of herself wearing divorce ringsin the post which features a slide of pictures and videos the 32yearold wears two rings from new york citybased jewellery brand alison lou founded by alison chemla on her fourth and fifth fingersthe caption reads divorce rings  alisonlouthe model and actress has repurposed her twostone engagement ring from her exhusband sebastian bearmcclard the couple who were married for four years and share a son named sylvester finalised their divorce in 2022the rings represent my own personal evolution i dont think a woman should be stripped of her diamonds just because shes losing a man ratajkowski told vogueratajkowski said she was inspired to by reading stephanie danlers essay the unravelers in the paris review which loosely tells the story of danlers greatgrandmother and her snake ringthis was a ring that is made up of the different stones from her various marriages ratajkowski told voguei loved the idea of a ring unabashedly representing the many lives a woman has livedchemla who created ratajkowskis original engagement ring split the two diamond stones  an angled pearshaped stone next to a princesscut stone  and placed them on two separate gold bands adding two extra diamonds on one of the ringschemla captioned pictures of the rings on instagram we made the original two stone engagement ring that set the trend here we go again emrata divorce ringsaccording to nilesh rakholia jeweller and founder at abelini divorce jewellery is usually created to honour the marriage and help you move on from a chapter of your lifewhile it may seem odd to celebrate a divorce its less about focusing on the separation but instead honouring your past and helping you to move forward while reclaiming your identity he saidyour divorce ring can act as a replacement to your wedding ring and can be worn on the fourth finger of your left hand while there are many readymade options available you can also repurpose your old wedding ring to create something new like emily ratajkowski hasredesigning her engagement ring emily has separated it to form two new rings perfectly signifying the separation from her partner while the ring still incorporates the original stones repurposing the original piece into two new pieces gives it a completely new feel and meaningarabel lebrusan founder of lebrusan studio added gold and diamonds are resilient enough to be repurposed again and again which is why engagement rings and wedding bands are an ideal opportunity for remodelling crafting something new from the enduring materials already above groundas advocates of circularity we love how the divorce ring creates an opportunity for women to reclaim their own gold and diamonds why should we strip ourselves of perfectly beautiful jewelsduring transitional periods remodelling an emotive piece of jewellery is a cathartic process that culminates in a tangible symbol of new intentions divorce rings like emilys are symbolic of a fresh start enabling the wearer to claim their future without denying the path that led them to the presentduring an interview with harpers bazaar in 2022 ratajkowski spoke openly about her marriage and how she initially felt postdivorcei can tell you that i have never been single before she saidi feel all the emotions i feel anger sadness i feel excitement i feel joy i feel levity every day is different the only good thing i know is that im feeling all those things which is nice because it makes me believe that ill be ok,Lifestyle
18,the first patient to have a computer chip implanted into their brain by elon musks neuralink has been shown using the device to control a pcin a livestream posted to x formerly twitter 29yearold noland arbaugh showed how he could move a computer cursor using just his mind to play chess onlinemr arbaugh said he had been paralysed below the shoulders after a diving accident several years ago and he underwent surgery to have the neuralink chip implanted in januaryit aims to give those with paralysis the ability to control their devices including their smartphone using just their thoughts and it is currently being trialled to test the functionality of its interface and the surgical robot used to implant the chips having received approval in the us to test the chip on humansthe neuralink device can read brain neuron activity and beam back a wireless signal to a receiving unit which then connects with a users device and enables them to control itduring the livestream mr arbaugh said the surgery to implant the chip was super easy and he also demonstrated how he could use the chip to play video game civilisation vihe said neuralink had given him the ability to do that again and that he had played for eight hours straighthowever he added the device is not perfect and he had encountered some issueswhen the successful surgery was announced in january mr musk took to x to explain the early plans for neuralinkhe said initial users will be those who have lost the use of their limbsimagine if stephen hawking could communicate faster than a speed typist or auctioneer that is the goal,Lifestyle
19,if you havent heard of the soft travel trend yet chances are youll spot it soonit taps into a lot of social medias soft life vibes  which originated in nigeria and was popularised by africanamerican women long before it made its mark on tiktok with softlife racking up 2285k posts and counting  where leaning into a less stressful more enriched life is the goalbut what does soft travel really mean and why is it becoming popularsoft travel focuses on taking it easy says travel expert justin chapman from go2africa its rising in popularity as more and more people realise its ok to take a real breakby listening to your body and mind you can rest when you need to rather than rushing around tourist spots because you feel you have to be busy at all times to make the most of your holiday or spending ages trying to get the perfect shot for social mediaadam schwab cofounder and ceo of luxury escapes adds rather than rushing from attraction to attraction soft travellers are savouring simple pleasures  strolling leisurely through charming neighbourhoods without an agenda getting lost in local shops or relaxing at cafes with a good book and coffee this trend is resonating with many people especially city dwellers because it helps to appease burnout from the overscheduled bucketlistchasing style of travel that many people are tired of instead people are craving authentic immersive experiences that let them live like locals for a while and be present in the momentthere was a time when the goal of any holiday was simple to relax and unwind does soft travel take us back to thissoft travel is about simply making a conscious effort to slow down and relax when on holiday travelling is traditionally associated with a fastpaced onthego mentality however this trend encourages you to reconnect with nature and prioritise wellbeing says simon lynch global sales and product director at luxury tour operator scott dunn with everyday life more hectic than ever travellers are considering which areas of their life they can take at a slower pace and it seems holidays can do just thatthere are crossovers with slow travel which is all about slowing down taking a green approach and being more mindful but chapman says soft travel is a more achievable take on slow travel most people dont have the time or resources to immerse themselves in a new country and culture for months at a time soft travel gives all the benefits of a cultural experience and true rest but on a smaller scalelee dobson coowner of travel city says the rise in soft travel can be linked to a wider interest in mindfulness and looking after the environment people are looking for deeper more meaningful travel experiences that also consider the planets wellbeingmichele massa travel expert and ceo of ibiza summer villas agrees theres a big environmental element soft travel aims to counter the classic problems with exploitative tourism it encourages people to stay in one place for longer periods  opposite to the classic digital nomad lifestyle and embrace local customs support local businesses and make more environmentally sustainable decisions massa explainswhile it may sound like a lot of extra planning could be required the point of soft travel is to make our lives easier when travelling if were staying locally for longer periods we will also be more likely to use things like biking walking or public transport for getting around which naturally reduces our carbon emissionsschwab suggests focus on booking accommodation that is off the beaten tourist path and enables you to immerse yourself in the local culture and most importantly resist the urge to overschedule  leave plenty of unstructured time in your itinerary for wandering without a plan and soaking up the real vibe of the areafor lynch its about how you plan your trips and your mindset while thereslowing down is a big part of it with less demand for frantic schedules and instead taking a slower more laissezfaire attitude to holidaying this may involve taking the more scenic route as opposed to the most direct  prioritising nature over speed says lynchhowever it is also slowing your pace mentally taking time to immerse yourself in your surroundings interacting and enjoying beautiful new views cultures buildings or nature you can still be adventurous but instead of feeling pressures and demands of being on the go all the time youll enjoy the journey of activities and not rush through them,Lifestyle
20,tesla has cancelled the longpromised inexpensive car that investors have been counting on to drive its growth into a massmarket carmaker according to three sources familiar with the matter and company messages seen by reutersthe carmaker will continue developing selfdriving robotaxis on the same smallvehicle platform the sources saidthe decision represents an abandonment of a longstanding goal that tesla chief elon musk has often characterised as its primary mission affordable electric cars for the masses his first master plan for the company in 2006 called for manufacturing luxury models first then using the profits to finance a lowcost family cartesla shares were down by 6 per cent in late morning trading after the reportmusk has since repeatedly promised such a vehicle to investors and consumers as recently as january musk told investors that tesla planned to start production of the affordable model at its texas factory in the second half of 2025teslas cheapest current model the model 3 saloon retails for about 39000 36000 in the united states the nowdefunct entrylevel vehicle sometimes described in media reports as the model 2 was expected to start at about 25000 23000tesla did not respond to requests for commentthe stark reversal comes as tesla faces fierce competition globally from chinese electricvehicle makers flooding the market with cars priced as low as 10000 the plan for driverless robotaxis which could take longer to deliver presents a stiffer engineering challenge and more regulatory risktwo sources said they learned of teslas decision to scrap the model 2 in a meeting attended by scores of employees with one of them saying the gathering happened in late februaryelons directive is to go all in on robotaxi that person saidthe third source confirmed the cancellation and said new plans call for robotaxis to be produced but in much lower volumes than had been projected for the model 2several company messages about the decision included one on march 1st from an unnamed programme manager for the affordable car discussing the projects demise with engineering staff and advising them to hold off on telling suppliers about program cancellationa fourth person with knowledge of teslas plans expressed optimism about the decision to pivot away from the cheapcar strategy in favour of robotaxis a segment musk has envisioned as the future of mobility the source cautioned that teslas product plans could change again based on economic conditionssqueezing profits from entrylevel vehicles is a challenge for any carmaker but teslas delay in pursuing the car musk once called his dream made it much tougher because it now faces far more competition in that price rangewhile tesla spent years developing its highly experimental cybertruck a pricey electric pickup chinese carmakers have raced ahead on affordable evs grabbing market share gaining economies of scale and offering consumers bargain prices that western carmakers are struggling to matchas chinese evs surged to challenge teslas dominance musk was tending to his sprawling empire which includes rocketmaker spacex brainchip developer neuralink and social media giant x which musk acquired in 2022 formerly called twitter the platform has foundered under musks volatile management shedding most of its value as the company has lost revenue and advertisersplans for the affordable tesla have been seen as key to delivering on musks stratospheric ambitions for sales growth musk said in 2020 that tesla aspired by 2030 to sell 20 million vehicles  twice as many as the worlds largest automaker toyota sells today with the death of the model 2 its unclear how hell get thereexpectations for a 25000 vehicle have underpinned wall street analysts more modest but still ambitious forecasts for tesla sales those forecasts according to a tesla investorrelations document call for vehicle sales rising to 42 million by 2028 from 18 million last yearmusk has wavered on the project before in a biography of the entrepreneur released last year author walter issacson reported that musk in 2022 put a hold on the entrylevel ev plans reasoning that a tesla robotaxi would make the car irrelevant musks advisors urged him to stay the course the book saidtesla called the affordablecar project nv91 internally and h422 externally when discussing it with suppliers according to two of the sources and company messages reviewed by reutersmessages from the unnamed tesla programme manager to staffers referenced those code names in discussing the projects termination one of those messages sent march 1st said that suppliers should halt all further activities related to h422nv91the sources said they did not know all the reasons behind the decision to kill the projectthe affordablecar projects cancellation comes as tesla and other established automakers have been rocked by slowing ev demand growth in the united states and europe and cutthroat competition in chinaif tesla had moved forward with the lowcost car it wouldnt have arrived on the market until the latter half of 2025 by the companys estimate but the entrylevel ev segment is already crowded with compelling models from byd and many other chinese brands  reuters,Business
21,apple is laying off more than 600 workers in california marking the companys first big wave of postpandemic job cuts amid a broader wave of tech industry consolidationthe iphone maker notified 614 workers in multiple offices on march 28 that they were losing their jobs with the layoffs becoming effective on may 27th according to reports to regional authoritiesthe workers were cut from eight offices in santa clara according to the filings under the states worker adjustment and retraining notification act also known as warnit is not clear which departments or projects the employees were involved inapple did not respond to a request for comment on fridaythe california company had been a notable exception as other tech companies slashed their workforces over the past two yearsthere was a massive surge in hiring during the covid19 pandemic when people spent more time and money online and big tech companies are still larger than they were before the pandemicstill as growth slows companies are focusing on cutting costsin a recent regulatory filing apple said it had about 161000 fulltime equivalent employeesamazon announced earlier this week a fresh round of layoffs this time at its cloud computing business awsin recent months video game maker electronic arts said it is cutting about 5 per cent of its workforce sony said it is axing about 900 jobs in its playstation division cisco systems announced plans to lay off more than 4000 workers and social media company snap owner of snapchat announced it is slashing 10 per cent of its global workforce,Business
22,european lowcost airline ryanair has said it would resume flights to tel aviv from june 3rdthe airline will operate 40 weekly flights to and from tel aviv following the reopening of a terminal at israels main international gatewayryanair europes largest airline by passenger numbers reported on wednesday that it had to cancel almost 950 flights in march due to the israelgaza warryanair had resumed flights to tel aviv in a reduced schedule from februaryreuters,Business
23,a number of prominent users of x formerly twitter have been given complimentary blue verification badges despite not paying for the sites premium subscription sparking confusion among users of the social media siteaccounts with large numbers of verified followers who are paying subscribers to x are being given the badges in what is the latest change to the sites verification system since the platform was taken over by elon musk in late 2022according to messages received by a number of x users the platform is handing out a complimentary subscription to x premium if a user is deemed to be an influential member of the the community on the sitelate last month mr musk posted that x accounts with over 2500 verified subscriber followers will get premium features for free and accounts with more than 5000 would be given complimentary premium the highest subscription tier on the sitethe update appears to be the enactment of this policythe change is the companys latest attempt to get more verified accounts on the platform after mr musk replaced the original twitter verification system with one where any user who paid a subscription fee could access the verification badge and see their posts be given more prominence on the siteunder the old system twitter itself verified the authenticity of those who applied to receive the badge with it being awarded to public figures celebrities and businesses as well as journalists media organisations and government agenciesthe muskled changes to a subscription system made it harder for users to identify authentic accounts and according to multiple online safety groups and pieces of research has seen misinformation flourish on the platform since being introducedas a result a number of advertisers have withdrawn or reduced their advertising on the platform leaving x in need of new streams of revenuea number of recipients of the returning blue tick including the news agents podcast host jon sopel and comedian david baddiel took to the platform to express their surprise at the update to their accountssocial media expert matt navarra said the update represented a uturn from mr musk after he previously said the old twitter verification system was unfaireverything old is new again  it was only two years ago elon musk was saying that he was going to give power to the people and remove the lords and peasants system that twitter had of bestowing a blue tick on influential users and now were in 2024 and what is he doing giving blue ticks for free to influential users he saidso we get yet another uturn or perhaps a realisation from elon that maybe some of the things that the previous administration had put in place were actually sensible worthwhile and valuablewhats also notable is that there was a time when people were desperate to get a blue tick and were pining to get that special signifier of importance on the platformin 2024 under elon musks regime people are far more resistant and actually would quite like it if they didnt get granted a tick and would rather hide it  which shows that rather than being a badge of honour or influence it is much more a badge of dishonour and something thats more of an embarrassment to peoplei think that tells us a lot about where we are with x and elon muskelsewhere at the social media company it has confirmed the appointment of kylie mcroberts as the sites new head of safety nine months after her predecessor left the firm,Business
24,the inflation that has squeezed shoppers fell more than expected in march to 24 per cent as cost spikes in the grocery aisle eased and overall price rises headed down in the two biggest economies germany and francethe annual figure for the 20 countries that use the euro currency came in below the 25 per cent predicted by financial markets and brings the european central bank ecb ever closer to its inflation goal of 2 per centbut analysts say the decline from 26 per cent in february though welcome would probably not be enough to move up the first interest rate cut from the ecbthe bank will meet on april 11th but the first reduction in borrowing costs is not expected until june despite an economy that is failing to grow several analysts saidfood inflation fell to 27 per cent from 39 per cent and energy prices dropped by 18 per cent according to eurostat the european unions statistics agencymeanwhile core inflation which excludes volatile food and energy costs eased to 29 per cent from 31 per cent in februaryinflation fell to 23 per cent in germany from 27 per cent the month before and to 24 per cent in france from 3 per cent the data from germany  the eurozones largest economy  brings some relief for the ecb said carsten brzeski global head of macro at ingbut prices for services which include everything from film tickets to medical care are still highthe ecb will also want to see the latest numbers on wage increases meaning that as long as the economy doesnt fall off a cliff the ecb will sit tight next week waiting for more data and the june meeting he saidthe us federal reserve also is expected to cut rates later this year fed officials have pencilled in three rate cuts even as the decline in inflation there has slowedin europe inflation spiked to a record high of 106 per cent in october 2022 after russia cut off most of its natural gas to the continent over the war in ukraine sending energy prices skyrocketing and driving a costofliving crisisalong with losing that affordable supply of gas needed to heat homes generate electricity and power factories the rebound from the pandemic also strained supply chains helping push up inflationthose price pressures have eased but now workers are pressing for higher pay to make up for lost purchasing power that has slowed the decline in inflation and left the ecb wary of cutting interest rates too soonthe ecb rapidly raised its key rate from minus 05 per cent to a recordhigh 4 per cent between july 2022 and september 2023 raising interest rates fights inflation by making credit to buy things more expensive driving down spending and easing pressure on pricesbut rate hikes also can hinder economic growth and the focus has now has turned to when the ecb will declare victory over inflation and start cutting rates to support the stalled economythe eurozone economy did not grow in the last three months of 2023 and figures for the first three months of this year are due on april 30th,Business
25,google has agreed to delete billions of records containing personal information collected from millions of people through its chrome web browser as part of a settlement agreement in a lawsuit in the united statesthe lawsuit accuses google of tracking chrome users internet activity even when they had switched the browser to incognito mode a setting which is supposed to shield a user from being trackedthe details of the deal emerged on monday more than three months after google and its legal team disclosed they had resolved a lawsuit brought in june 2020 which focused on the privacy controls of the firms chrome web browserthe settlement requires google to delete billions or personal records stored in its data centres and make more prominent privacy disclosures about chromes incognito mode when it is activatedthe data deletion also applies outside the usthe agreement also imposes other controls designed to limit googles collection of personal informationwhile google is supporting the deal it disputes the claims as meritless and said it was only required to delete old personal technical data that was never associated with an individual and was never used for any form of personalisationin contrast lawyers representing chrome users depicted the settlement as a major victory for personal privacy in an age of everincreasing digital surveillance according to court papersthey valued the settlement at between 475 billion and 78 billion based on calculations of potential advertising sales that the personal information collected through chrome could have generated in the past,Business
26,the european arm of japanese clothing and homeware retailer muji is set to appoint administratorsthe spokesman for the business which has a store in dublin said the move forms part of a planned strategic restructuring of the business and that it expects to shortly reach a dealit stressed the process will have no immediate impact on shops staff and the general running of the chainfor mujis colleagues and customers in europe it is business as usual all stores and ecommerce will continue to operate as before and all new and outstanding orders will be fulfilled the firm saidmuji was launched in japan in 1980 and sells a range including clothes stationery homeware beauty products and cupboard essentialsit is known for its focus on japaneseinspired simple and functional goods and also has stores across britain mainland europe and the nordics,Business
27,hundreds of thousands of households are bracing themselves for yet more price hikes on monday as fuel broadband mobile phone and television costs are set to increase for manyfrom midnight on april 1st the cost of petrol and diesel will risethe price at the pumps on monday will see drivers pay an extra 4 cent per litre of petrol 3 cent per litre of diesel and 15 cent on marked gas oilit is the latest step by the government to restore excise rates to the levels they were at before a temporary cut was introduced due to the war in ukrainealso starting from next week most customers of eir and vodafone will see their bills go up by 76 per cent as the companies annual price adjustments take effect under this policy bills go up each april by the annual rate of inflation as of january each year plus an additional 3 per centcustomers of three see their prices go up by a flat 45 per cent each april regardless of the rate of inflationother providers such as sky and virgin media are also upping their prices in april however the firms have not committed to annual automatic price hikes for nowsky is hiking its prices by an average of 41 per cent on some of its products for exampledaragh cassidy from price comparison site bonkersie said price rises across the telecom industry was bad for competition and bad for consumersits no coincidence that all the main providers now hike their prices by a similar amount and at a similar time each year he saiddespite the rising prices mr cassidy said there is still strong competition among all providers for new customersa household could easily save 40 or 50 a month on their broadband and tv bills for an entire year by switching many of us will jump through hoops to shave 40 or 50 a year off our car insurance so its a nobrainer to not look at switching your broadband and tv when you could save a multiple of that over the course of a yearlater in april the price of certain pints of beer will also climb by about 10 centa 6 cent increase on diageo products including guinness carlsberg and smithwicks will take effect from april 15th but will come to almost 10 cent when tax is includedit comes on the back of a 12 cent price hike the drinks giant rolled out this time last year,Business
28,pizza chain papa johns is to shut 43 restaurants across the ukthe takeaway business confirmed plans to axe the underperforming locations after launching a review at the start of the yearit will close the restaurants by midmay following a consultation process papa johns international said the decision does not impact any of the companys 85 outlets in irelandthe company has not confirmed how many staff will be impacted by the closuresthe group had previously said it planned strategic closures in order to free up money for investment and improving profitability at its remaining uk sites it has now identified 43 restaurants as underperforming locations that are no longer financially viablechris phylactou managing director at papa johns uk said our priority is our team members who will be fully supported throughout this processour goal is to work with impacted team members and attempt to find redeployment opportunities where availablewe understand the impact this will have on our team members and are committed to supporting them during this timepapa johns said it plans to increase investment in research and technology such as better utilising customer data as part of its uk strategyit also said it will look at the development of new types of sites beyond traditional restaurants such as expanding into holiday parks and is set to announce other large retail partners in the coming monthsmr phylactou added while this is a difficult decision closing these underperforming locations will give us the opportunity to invest back into the right locations with the right partners for longterm growthwe are focused on driving shared profitable growth across our uk restaurants by continuing to make improvements to our business to ensure that we are well positioned for the futurewe have been encouraged by the results so far from these initiatives,Business
29,minister for finance michael mcgrath has confirmed that measures will be introduced before the next budget to assist businesses facing difficultyit comes as presumptive taoiseach simon harris faces a renewed push to shore up support among small firms and their ownersaccording to the irish times some in fine gael are of the view that mr harris should consider a break with convention and introduce taxation changes before the budget  with targeted reductions in vat and employers prsi for certain underpressure sectorsspeaking on tuesday mr mcgrath said a new report commissioned by the department of enterprise had examined the impact of the various policy measures the government had introduced to improve working conditions including pay rises and increases to the minimum wagethe fianna fáil minister told rtés morning ireland there is a cost to business arising from the combined effect of all of those measures and as a result of that we have already indicated a number of moves that we are prepared to makethe energy efficiency grant for businesses is being increased in relation to employer prsi we have identified the consequence of the step effect that is there in respect of the low rate of employer prsi associated with low levels of incomeand we are committed to examining what we can do in that space before the budget we discussed this a number of weeks ago at cabinet committee levelhe added that he wanted to see the rollout of grants worth 250 million to businesses over the coming weeks that was announced in budget 2024when asked about the possibility of a transfer pact between himself tánaiste micheál martin and simon coveney mr mcgrath said there would be no transfer pact he said he very much respected mr coveneys approach to work and that they worked well together at constituency level national level and around the cabinet tablemr mcgrath also congratulated simon harris on his impending elevation to the office of taoiseach its a very proud day for him and his familyweve worked closely with simon harris around the cabinet table for the last four years and ive been impressed with his work as a minister clearly his colleagues in fine gael fully support him and he will be elected as taoiseach of the country in two weeks timemr mcgrath said he knew mr harris recognised the importance and value of a good relationship at leader levelwe have three parties in this government and while we will all seek to have our own individual identity as parties while continuing to serve in government the most important thing here is the stability of the government  that we offer certainty for our economy for people who are creating and sustaining jobs in ireland and that we use the resources that we are generating wisely to build homes to invest in public services and thats what the government will do,Business
30,boeing chief executive dave calhoun has announced he will step down from the embattled plane maker at the end of the year after a series of mishaps at one of americas most storied manufacturersboard chairman larry kellner has also told the company he does not plan to stand for reelectionboeing also said on monday that stan deal the president and chief executive of its commercial planes unit will retire from the company stephanie pope will now lead the divisionthe federal aviation administration has put the company under intense scrutiny and recently ordered an audit of assembly lines at a boeing factory near seattlethe factory is where the company builds planes like the alaska airlines 737 max which suffered a doorpanel blowout on january 5investigators say bolts that help to keep the panel in place were missing after repair work at the boeing factorythe incident has raised scrutiny of boeing to its highest level since two crashes of boeing 737 max jets in 2018 and 2019 that killed 346 peopleshares rose more than 2 per cent before the market opened,Business
31,the eu has opened investigations into three of the worlds biggest tech firms over concerns about anticompetitive practicesapple google parent firm alphabet and meta  the owner of facebook whatsapp and instagram  are each being investigated over noncompliance with the european unions digital markets act dmathe rules which were introduced in 2022 and came into full effect earlier this month aim to enhance choice for consumers and stop the largest tech platforms from creating or maintaining monopolies across different areascompanies found in breach of the rules face fines of up to 10 per cent of their annual turnover  potentially billions of euro for the biggest firmsannouncing the proceedings the european commission said it was investigating apple and google over socalled steering rules on their app stores and whether the two firms were doing enough to steer consumers to offers outside of their own stores free of charge  something which is required under the dmathe commission said it was also investigating alphabet over concerns it was preferencing its own services in search results and whether apple made it easy enough for consumers to switch to nonapple software or services  such as internet browsers  on apple devicesfacebook parent firm meta meanwhile is under scrutiny over its scheme which asks people to pay to avoid their data being used for advertsthe commission said it expects its investigation to take around a year to completeeu competition policy lead margrethe vestager said today the commission opens five noncompliance investigations under the digital markets act dmathey concern alphabets rules on steering in google play and selfpreferencing in google search apples rules on steering in the app store and on choosing browsers and changing defaults and metas pay or consent modelwe suspect that the suggested solutions put forward by the three companies do not fully comply with the dmawe will now investigate the companies compliance with the dma to ensure open and contestable digital markets in europethe new investigation comes just weeks after the eu fined apple 18 billion for breaching competition law in the music streaming sectorand last week the us justice department announced it was launching a landmark lawsuit against apple accusing it of monopolising the smartphone market with its policiesthierry breton the eus commissioner for the internal market said the digital markets act became applicable on march 7thwe have been in discussions with gatekeepers for months to help them adapt and we can already see changes happening on the marketbut we are not convinced that the solutions by alphabet apple and meta respect their obligations for a fairer and more open digital space for european citizens and businessesshould our investigation conclude that there is lack of full compliance with the dma gatekeepers could face heavy fines,Business
32,yuno energy has announced it is to cut electricity rates for new customers by 34 per centthe new rate available from monday will be fixed for 12 months and will not change no matter what happens in the wholesale energy markets the engery provider saidhaving launched in the irish market last august it has joined other providers in reducing rates following reductions in wholesale energy pricesyunos latest rate for new customers will be 2524 per cent including vat per kwhwholesale markets have increased in the last few weeks and are still volatile yunos chief exeuctive cathal fay said adding the rate for new customers might be particularly appealing to those that want to be sure they can lock in the benefits of recent price reductions,Business
33,the court of appeal coa has rejected a claim by the operator of a footwear and clothing store in dublins grafton street that its lease was partially frustrated as a result of having to close due to the pandemic lockdownsin december 2021 the high court also rejected the claim by the foot locker store operator that it had liability for only part of the 2020 rent due to some 253 days of pandemicordered closuresthe landlord percy nominees ltd argued there was no basis for such a claim and sought payment of the full rentthe high court found the concept of partial frustration of a lease was not one which exists in irish lawin its action foot locker accepted the rent was only partly paid for the lockdown days but said the landlord should share some of the pain caused by the closures because the lease had been partially frustratedpercy nominees contended that partial frustration of a lease was unknown in law or known not to exist it argued the lease had not on the facts been frustrated in any way it also brought a counterclaim against foot lockerthe high court as well as rejecting the foot locker case also granted the landlord judgment for rent arrears of just over 1 millionfootlocker appealed claiming the high court erred in its decision on several grounds percy nominees opposed the appealon friday mr justice david barniville the president of the high court sitting as a member of the threejudge coa found the high court had identified and applied the correct legal principles and reached the correct conclusionhe said he entirely agreed with the high court judge that there does not exist as a matter of irish law a concept of partial or temporary frustration of the lease as contended for by foot lockersuch a concept is contrary to principle and authority he saidas a matter of principle it was impossible to see how a contract can be frustrated for a period and then revived or resurrected when that period is over he saidthat was conceptually impossible as a matter of principle and in the words of the high court judge does violence to the fundamentals of the doctrine of frustration he saidit was also entirely contrary to wellfounded authority including decisions of a number of high court judges and case law from other jurisdictions he saidhe said he was also declining foot lockers invitation to the court to make new law in this area,Business
34,donald trump is returning to the stock marketshareholders of digital world acquisition corp a publicly traded shell company have voted to approve a deal to merge with the former us presidents media businessthat means trump media  technology group whose flagship product is social networking site truth social will soon begin trading on the nasdaq stock market,Business
